# Real DX cluster spots captured from http://www.dxsummit.fi/api/v1/spots?limit=500
# on 2026-08-08. Two columns: frequency in kHz, and the spotter's free-text
# comment. Ground truth for the mode test is the comment: where a spotter
# named the mode, the band plan must agree with them.
# frequency_khz	comment
144174.0	FT8 +40 dB 1746 Hz
14263.0	IOTA EU-175
14213.0	
7126.0	33076
144174.0	IN82EI<ES>JO60 FT8
21057.0	WAE CW
21010.8	
28013.0	wae
28180.0	FT4 CQ for new ft4 states
21001.8	
144174.0	JO58UJ<ES>JM16MR FT8 +22 Tnx
28445.0	POTA !
24915.0	FT8 73
7067.0	Concurso Municipios Espa?oles
21144.0	FT4 +20dB from IM67 0Hz
14207.0	CQ SSB
21005.0	
21027.1	
21019.0	CW
3684.0	
50313.0	FT8 -09dB from IN95 1804Hz
144174.0	ES -07
144176.1	FT8  Tnx for Qso 73's
21026.0	
144174.0	JN97IL<>IN77TT
50313.0	KP02OJ<ES>KM71JG cq
24915.0	CQ WWFF PYFF-0417
144260.0	IL18 es jn70
28001.0	
28435.0	Thanks for nice QSO
21058.8	
14074.0	FT8
24965.0	ssb 25th CACG
144174.0	<ES> ES +24
3724.0	Pensjonat
7190.0	CME CONCURSO
14245.0	50182 CME test
7023.0	Award
144174.0	FT8 +37 dB  RALF BUERGER QRV
21006.0	
144174.0	FT8 -13 dB 2367 Hz
70200.0	JN61FP<ES>IO81RF Tnx ssb good
14296.0	POTA
21000.1	
21023.6	
70154.0	JO55PM<>JN11 TU fer FT8 QSO
28406.0	CQ CQ 10m
70080.9	IO80XS(ES)KN06HT 529
70190.0	IO63WE<ES>JN70ET B 0db
144174.0	FT8 +24 dB  DR5O JO31NH
28435.0	Merci pour le contact 73
50313.0	FT8 -10dB from JM49 739Hz
3742.0	Dyplom Lato z Radiem w Eterze
28020.9	WAE
14042.0	ses - EM69 - see QRZ
70154.0	FT8
14093.0	Old Commodore 64 with RTTY int
21023.2	
50110.0	CQ DX EU
24970.0	
28007.0	
21020.8	CW
70190.0	IO63WE<ES>JN61FS B +02
21014.5	CW
14203.0	GUD SIGNAL, NOT CONTEST
21030.1	WAE Contest CW
50313.0	KP02OJ<ES>KM72JA cq
70154.0	JO55PM<>JN01 TU fer FT8 QSO
144174.0	FT8 -8 dB 1408 Hz
70022.3	IO80XS(ES)JN85JO 569
70190.0	IO63WE<ES>JN61GV b +1 FT8
18100.0	
70154.0	FT8 -22 dB 2729 Hz rx
14036.0	
7018.8	WAE DX C
21023.3	
7259.0	
50314.5	FT8
21001.5	
14265.0	
21002.1	CW
14074.0	FT8 CQ
144174.0	JN77PK<ES>IN88HR FT8
14036.0	POTA
50155.0	USB JN25xu -> IO83wb
7198.0	DME-39052 (Pi??lagos) TPEA: S
7007.7	CW
50438.0	IO80XS(ES)JN78DN 559
50313.0	<ES> FT8 +1 dB 1502 Hz
50165.1	59 jn45NM
7115.0	dme 13038 IMPORTANTE PONER /P
14277.0	
7250.0	uss midway special event  LSB
21041.0	
28401.0	CQ
18100.0	FT8 -21dB from IM59 1451Hz
14245.0	DME 50182
28012.7	CQ WAE
28215.0	IO75QH<ES>IO70OJ 599
144175.6	IM98XV<>JN41 FT8
7026.0	CW
28075.0	
21014.6	
21027.1	WAE CW
14041.4	WAE Contest
7115.0	CME
144174.0	IN83JJ<ES>JO91 TNX 73+DX
70154.0	JP50JA<>JN40GR FT8 / -2dB CQ
24970.0	checking the band
24916.3	FT8  SENT: -26  RCVD: -01
